# point number in a profile
187
#r  U_mean  k  eps
0.0000000000000000E+00 5.8911629093499864E-16 1.4424413801431693E-23 1.8166492592295420E-02
3.9404725682773423E-04 9.7447727131326801E-03 7.4136934277055029E-06 1.7880202479936481E-02
7.8827676013193404E-04 1.9486303621659345E-02 2.9439031448131511E-05 1.7631571846483129E-02
1.1828708406778632E-03 2.9228917413238482E-02 6.5802935693244841E-05 1.7414742199786684E-02
1.5780119978472951E-03 3.8976813080040945E-02 1.1629143368077261E-04 1.7224708419334375E-02
1.9738829840446614E-03 4.8734059202943589E-02 1.8074118284974112E-04 1.7057151332310411E-02
2.3706668892193861E-03 5.8504588971434707E-02 2.5903156201348513E-04 1.6908303478853977E-02
2.7685472255452037E-03 6.8292194898260383E-02 3.5107724576521508E-04 1.6774843642048537E-02
3.1677080122941015E-03 7.8100523203518013E-02 4.5682118741542541E-04 1.6653816277770527E-02
3.5683338609451276E-03 8.7933067859465419E-02 5.7622794598854738E-04 1.6542572394704965E-02
3.9706100605671479E-03 9.7793164305196481E-02 7.0927730289630409E-04 1.6438728731623581E-02
4.3747226635146852E-03 1.0768398908566502E-01 8.5595824046103301E-04 1.6340148693323085E-02
4.7808585714770868E-03 1.1760855839787163E-01 1.0162631693788992E-03 1.6244889457964363E-02
5.1892056219203231E-03 1.2756969395453513E-01 1.1901817949336844E-03 1.6151276485548219E-02
5.5999526749614947E-03 1.3757001401239236E-01 1.3776952059938560E-03 1.6057812443869821E-02
6.0132897007167951E-03 1.4761194834640592E-01 1.5787715491049205E-03 1.5963200387834883E-02
6.4294078671621180E-03 1.5769772612467192E-01 1.7933617753812135E-03 1.5866447395792946E-02
6.8484996285483879E-03 1.6782937594914643E-01 2.0213943580273471E-03 1.5766606385678304E-02
7.2707588144112489E-03 1.7800874758957735E-01 2.2627697302962202E-03 1.5662630866705402E-02
7.6963807192170774E-03 1.8823749761711348E-01 2.5173549476164092E-03 1.5556537696268207E-02
8.1255621926866195E-03 1.9851695428161609E-01 2.7849643165938670E-03 1.5447053957041646E-02
8.5585017308376088E-03 2.0884822654975102E-01 3.0654093300761420E-03 1.5332787332010472E-02
8.9953995677891641E-03 2.1923218505908035E-01 3.3584518879606743E-03 1.5214143273813693E-02
9.4364577683697104E-03 2.2966945593869981E-01 3.6638029879621095E-03 1.5091671894826283E-02
9.8818803215717788E-03 2.4016041623471177E-01 3.9811234804165195E-03 1.4966057080186076E-02
1.0331873234896927E-02 2.5070518921888701E-01 4.3100247316066572E-03 1.4838058659956398E-02
1.0786644629633801E-02 2.6130363985749655E-01 4.6500692400949046E-03 1.4708568885164801E-02
1.1246404837114088E-02 2.7195537011560661E-01 5.0007712548065771E-03 1.4578531029803327E-02
1.1711366495990527E-02 2.8265971516576416E-01 5.3615974367497970E-03 1.4448937002792291E-02
1.2181744650582194E-02 2.9341573950838779E-01 5.7319676178878001E-03 1.4320818000859886E-02
1.2657756850332103E-02 3.0422223406883270E-01 6.1112557021773973E-03 1.4195218139913696E-02
1.3139623250423837E-02 3.1507771383629074E-01 6.4987907609477414E-03 1.4073181847772393E-02
1.3627566713602934E-02 3.2598041651078463E-01 6.8938583725743144E-03 1.3955734727224013E-02
1.4121812913250764E-02 3.3692830234659732E-01 7.2957022566631363E-03 1.3843861646819236E-02
1.4622590437758209E-02 3.4791905500329018E-01 7.7035262539017126E-03 1.3738492847003420E-02
1.5130130896247651E-02 3.5895008384934901E-01 8.1164966972030635E-03 1.3640486251591139E-02
1.5644669025691837E-02 3.7001852770732868E-01 8.5337452162084580E-03 1.3550610041728098E-02
1.6166442799479763E-02 3.8112126009481273E-01 8.9543720077980837E-03 1.3469536548284292E-02
1.6695693537478795E-02 3.9225489618473885E-01 9.3774495912180792E-03 1.3397813389229534E-02
1.7232666017645004E-02 4.0341579347868073E-01 9.8020258368321754E-03 1.3335836044697217E-02
1.7777608589232941E-02 4.1460008640822354E-01 1.0227133209379732E-02 1.3283978441407822E-02
1.8330773287656643E-02 4.2580365900158401E-01 1.0651785264882002E-02 1.3242197617692122E-02
1.8892415951055896E-02 4.3702220532121278E-01 1.1074993927884217E-02 1.3210413621796082E-02
1.9462796338621136E-02 4.4825119856789897E-01 1.1495763058967923E-02 1.3189060720235721E-02
2.0042178250731790E-02 4.5948593906947560E-01 1.1913103773186929E-02 1.3176931480889276E-02
2.0630829650963689E-02 4.7072155322679582E-01 1.2326037446386905E-02 1.3174314831790901E-02
2.1229022790022090E-02 4.8195301592207745E-01 1.2733598794836631E-02 1.3179924433374133E-02
2.1837034331657068E-02 4.9317517093583874E-01 1.3134849707071836E-02 1.3193284224301249E-02
2.2455145480620609E-02 5.0438274235558700E-01 1.3528878193554741E-02 1.3213630846022001E-02
2.3083642112723235E-02 5.1557035340992596E-01 1.3914803284323960E-02 1.3241065131082233E-02
2.3722814907051526E-02 5.2673253933908959E-01 1.4291778191171665E-02 1.3273289427121736E-02
2.4372959480406631E-02 5.3786375849076362E-01 1.4658991061113479E-02 1.3310284016614179E-02
2.5034376524027069E-02 5.4895840986407052E-01 1.5015659237638482E-02 1.3351156314496146E-02
2.5707371942657931E-02 5.6001085387520888E-01 1.5361039631075256E-02 1.3393349530879527E-02
2.6392256996031649E-02 5.7101541910333287E-01 1.5694433645864047E-02 1.3442055469124919E-02
2.7089348442825123E-02 5.8196643427662309E-01 1.6015173309060070E-02 1.3490932604302938E-02
2.7798968687160586E-02 5.9285828877869329E-01 1.6322640820412168E-02 1.3539543143137657E-02
2.8521445927716993E-02 6.0368559255538135E-01 1.6616344066925668E-02 1.3591754405061504E-02
2.9257114309521715E-02 6.1444297639717116E-01 1.6895902567154491E-02 1.3644620567075501E-02
3.0006314078492080E-02 6.2512515438901040E-01 1.7160834300973843E-02 1.3688132124450783E-02
3.0769391738799112E-02 6.3572696581829180E-01 1.7410723715107424E-02 1.3724304004997988E-02
3.1546700213125167E-02 6.4624337234666718E-01 1.7645232580835953E-02 1.3754556206994442E-02
3.2338599005890256E-02 6.5666948031009076E-01 1.7864096137668622E-02 1.3779809242203414E-02
3.3145454369522709E-02 6.6700056220804649E-01 1.8067119025590390E-02 1.3800438467101037E-02
3.3967639473850508E-02 6.7723207703076038E-01 1.8254171040016136E-02 1.3816573672108298E-02
3.4805534578691733E-02 6.8735968909366041E-01 1.8425182745460896E-02 1.3827952612769222E-02
3.5659527209724762E-02 6.9737928501774826E-01 1.8580140979109427E-02 1.3834120054390284E-02
3.6530012337718187E-02 7.0728698854822192E-01 1.8719084275340126E-02 1.3834498394722268E-02
3.7417392561204688E-02 7.1707917293200085E-01 1.8842097862427406E-02 1.3828190181111250E-02
3.8322078292682138E-02 7.2675247325109282E-01 1.8949313512647194E-02 1.3815350668728472E-02
3.9244487948429330E-02 7.3630379389147582E-01 1.9040902395483884E-02 1.3794726058931464E-02
4.0185048142022894E-02 7.4573031113633315E-01 1.9117069388058024E-02 1.3765839758923273E-02
4.1144193881645696E-02 7.5502948253200985E-01 1.9178059625579180E-02 1.3728822713371338E-02
4.2122368771277729E-02 7.6419903234576370E-01 1.9224140518195692E-02 1.3683075147254019E-02
4.3120025215862501E-02 7.7323696503504047E-01 1.9255617037219334E-02 1.3628500035974000E-02
4.4137624630544048E-02 7.8214153773556705E-01 1.9272813652701642E-02 1.3566964037712825E-02
4.5175637654070622E-02 7.9091127511042070E-01 1.9276086535750206E-02 1.3496876886558944E-02
4.6234544366465069E-02 7.9954494139666066E-01 1.9265815192575950E-02 1.3420347969273026E-02
4.7314834511061166E-02 8.0804153714976867E-01 1.9242400433099480E-02 1.3336676569210695E-02
4.8417007721009375E-02 8.1640030161264032E-01 1.9206271151336499E-02 1.3246658559706850E-02
4.9541573750356893E-02 8.2462069008159222E-01 1.9157876711027356E-02 1.3150490702970866E-02
5.0689052709808280E-02 8.3270237479784270E-01 1.9097686073846817E-02 1.3049307193294137E-02
